UC99LgIedzGD1GirhFGldfUQ;EnjoyPhoenix;3162054;458863730;596
UCpteGnWWaVAg1K7QmNvPfAQ;TiaMendy CheveuxAfro;79253;8511456;100
UCOHvAMfqxdMFYjXFhsW2MEQ;Lilo Indi;5837;1388811;23
UCjGU6r58JJYuqLBmp3_OaeQ;Émeline Sovadrevna;37763;2112924;49
UCY-pbMPOH1tlraSPoFyhV_A;YOUCANHEARTIT;50334;2231242;204
UCMUnss27xqmVfrA3yLeHo-A;Éloïse Larocque;10475;413515;98
UCi4Zh6ynuZHDlCLOgbTQ-cA;Kelwy's Chronicles;11770;800708;196
UCVoDMXLU_UNpljm83m-Ds4w;Sananas;2015750;254951770;522
